base_gen_project,retrofit_gen_project
Shanxi-EP_Coal_300_DRY-ep-280,Shanxi-EP_Coal_300_DRY-ep-280_H2
Shanxi-EP_Coal_300_DRY-ep-281,Shanxi-EP_Coal_300_DRY-ep-281_H2
Shanxi-EP_Coal_300_DRY-ep-282,Shanxi-EP_Coal_300_DRY-ep-282_H2
Shanxi-EP_Coal_300_DRY-ep-283,Shanxi-EP_Coal_300_DRY-ep-283_H2
Shanxi-EP_Coal_300_DRY-ep-284,Shanxi-EP_Coal_300_DRY-ep-284_H2
Shanxi-EP_Coal_300_DRY-ep-285,Shanxi-EP_Coal_300_DRY-ep-285_H2
Shanxi-EP_Coal_300_DRY-ep-286,Shanxi-EP_Coal_300_DRY-ep-286_H2
Shanxi-EP_Coal_300_DRY-ep-287,Shanxi-EP_Coal_300_DRY-ep-287_H2
Shanxi-EP_Coal_300_DRY-ep-288,Shanxi-EP_Coal_300_DRY-ep-288_H2
Shanxi-EP_Coal_300_DRY-ep-289,Shanxi-EP_Coal_300_DRY-ep-289_H2
Shanxi-EP_Coal_300_DRY-ep-290,Shanxi-EP_Coal_300_DRY-ep-290_H2
Shanxi-EP_Coal_300_DRY-ep-293,Shanxi-EP_Coal_300_DRY-ep-293_H2
Shanxi-EP_Coal_300_DRY-ep-294,Shanxi-EP_Coal_300_DRY-ep-294_H2
Shanxi-EP_Coal_300_DRY-ep-3019,Shanxi-EP_Coal_300_DRY-ep-3019_H2
Shanxi-EP_Coal_300_DRY-ep-3020,Shanxi-EP_Coal_300_DRY-ep-3020_H2
Shanxi-EP_Coal_300_DRY-ep-3021,Shanxi-EP_Coal_300_DRY-ep-3021_H2
Shanxi-EP_Coal_300_OT-ep-291,Shanxi-EP_Coal_300_OT-ep-291_H2
Shanxi-EP_Coal_300_OT-ep-292,Shanxi-EP_Coal_300_OT-ep-292_H2
Shanxi-EP_Coal_300_RC-ep-230,Shanxi-EP_Coal_300_RC-ep-230_H2
Shanxi-EP_Coal_300_RC-ep-231,Shanxi-EP_Coal_300_RC-ep-231_H2
Shanxi-EP_Coal_300_RC-ep-234,Shanxi-EP_Coal_300_RC-ep-234_H2
Shanxi-EP_Coal_300_RC-ep-235,Shanxi-EP_Coal_300_RC-ep-235_H2
Shanxi-EP_Coal_300_RC-ep-236,Shanxi-EP_Coal_300_RC-ep-236_H2
Shanxi-EP_Coal_300_RC-ep-237,Shanxi-EP_Coal_300_RC-ep-237_H2
Shanxi-EP_Coal_300_RC-ep-238,Shanxi-EP_Coal_300_RC-ep-238_H2
Shanxi-EP_Coal_300_RC-ep-239,Shanxi-EP_Coal_300_RC-ep-239_H2
Shanxi-EP_Coal_300_RC-ep-254,Shanxi-EP_Coal_300_RC-ep-254_H2
Shanxi-EP_Coal_300_RC-ep-255,Shanxi-EP_Coal_300_RC-ep-255_H2
Shanxi-EP_Coal_300_RC-ep-256,Shanxi-EP_Coal_300_RC-ep-256_H2
Shanxi-EP_Coal_300_RC-ep-257,Shanxi-EP_Coal_300_RC-ep-257_H2
Shanxi-EP_Coal_300_RC-ep-268,Shanxi-EP_Coal_300_RC-ep-268_H2
Shanxi-EP_Coal_300_RC-ep-269,Shanxi-EP_Coal_300_RC-ep-269_H2
Shanxi-EP_Coal_600_DRY-ep-185,Shanxi-EP_Coal_600_DRY-ep-185_H2
Shanxi-EP_Coal_600_DRY-ep-186,Shanxi-EP_Coal_600_DRY-ep-186_H2
Shanxi-EP_Coal_600_DRY-ep-187,Shanxi-EP_Coal_600_DRY-ep-187_H2
Shanxi-EP_Coal_600_DRY-ep-188,Shanxi-EP_Coal_600_DRY-ep-188_H2
Shanxi-EP_Coal_600_DRY-ep-190,Shanxi-EP_Coal_600_DRY-ep-190_H2
Shanxi-EP_Coal_600_DRY-ep-191,Shanxi-EP_Coal_600_DRY-ep-191_H2
Shanxi-EP_Coal_600_DRY-ep-192,Shanxi-EP_Coal_600_DRY-ep-192_H2
Shanxi-EP_Coal_600_DRY-ep-193,Shanxi-EP_Coal_600_DRY-ep-193_H2
